"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-crarves/","201650","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][1]/div[@class='thumb']/div/div[@id='gallery-3123']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-king-william-cottage/","292557","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][2]/div[@class='thumb']/div/div[@id='gallery-3124']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-railway-cottages/","210065","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][3]/div[@class='thumb']/div/div[@id='gallery-4393']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","236947","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][4]/div[@class='thumb']/div/div[@id='gallery-3139']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns-2-bedrooms/","171580","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][5]/div[@class='thumb']/div/div[@id='gallery-5129']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","182177","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][6]/div[@class='thumb']/div/div[@id='gallery-3143']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/4-hare-cottage/","203324","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][7]/div[@class='thumb']/div/div[@id='gallery-3144']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/avocet-cottage/","235511","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][8]/div[@class='thumb']/div/div[@id='gallery-3158']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beehive-cottage/","191748","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][9]/div[@class='thumb']/div/div[@id='gallery-3169']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/bridge-farm-barn/","232071","","","200","OK","true","","","Absolute","//body/div[@class='wrap']/div/main/div[2]/div/div[@id='response']/div[@class='property-single'][10]/div[@class='thumb']/div/div[@id='gallery-3177']/div[@class='gallery-slides']/div[@class='gallery-slide'][1]/a","Content","HTML"
