"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3401","1","NOINDEX, NOFOLLOW","","","","","Non-Indexable","noindex"
"https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3282","1","NOINDEX, NOFOLLOW","","","","","Non-Indexable","noindex"
"https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=5140","1","NOINDEX, NOFOLLOW","","","","","Non-Indexable","noindex"
