"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","1","noindex, follow","","","","","Non-Indexable","noindex"
"https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","1","noindex, follow","","","","","Non-Indexable","noindex"
"https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","1","noindex, follow","","","","","Non-Indexable","noindex"
"https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3401","1","NOINDEX, NOFOLLOW","","","","","Non-Indexable","noindex"
"https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","1","noindex, follow","","","","","Non-Indexable","noindex"
"https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3282","1","NOINDEX, NOFOLLOW","","","","","Non-Indexable","noindex"
"https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=5140","1","NOINDEX, NOFOLLOW","","","","","Non-Indexable","noindex"
