hotel_name,instagram_handle,country,lists,followers,visible_like_posts_12mo,posts_90d,median_engagement_rate_pct,breakouts_12mo,score,rank,currently_tracked,recommendation,note
Hotel Humano,,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Otro Oaxaca,otrooaxaca,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel La Semilla,hotellasemilla,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
La Purificadora,,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Matilda,hotelmatilda,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Santa Monica Proper Hotel,santamonicaproper,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel 850 SVB,hotel850svb,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Palihotel Hollywood,palisociety,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Avalon Hotel & Bungalows Palm Springs,avalonhotels,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Drift Palm Springs,,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
ARRIVE Palm Springs,arrivehotels,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
El Llorenc Parc de la Mar,hotelelllorenc,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hospes Maricel & Spa,hospeshotelsmallorca,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hospes Palau de la Mar,hospeshotelsvalencia,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hospes Puerta de Alcala,hospeshotels_madrid,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hospes Palacio de San Esteban,hospeshotelsalamanca,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hospes Amerigo,hospeshotelsalicante,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hospes Palacio del Bailio,hospeshotelscordoba,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hospes Palacio de los Patos,hospeshotelsgranada,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hospes Las Casas del Rey de Baeza,hospeshotels_sevilla,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Bohemia Suites & Spa,bohemiasuites,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Seaside Palm Beach,seasidepalmbeach,Spain,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Torre de Palma Wine Hotel,torredepalma,Portugal,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Memmo Alfama,memmoalfama,Portugal,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Hotel,ohotelhotel,Portugal,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Memmo Principe Real,memmoprincipereal,Portugal,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Immerso Hotel,immersohotel,Portugal,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Altis Belem Hotel & Spa,altishotels,Portugal,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Memmo Baleeira,memmobaleeira,Portugal,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Estalagem da Ponta do Sol,estalagemdapontadosol,Portugal,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
The Cambrian,thecambrianadelboden,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Giardino Ascona,giardino.ascona,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Art House Basel,arthouse.basel,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Nomad Design & Lifestyle Hotel,nomad_basel,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Gasthaus Traube,traube_buchs,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Chandolin Boutique Hotel,chandolinboutiquehotel,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Chetzeron,chetzeron,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Rocksresort,rocksresort,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Borsari,quartier.lodze,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Giardino Lago,giardino.lago,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Giardino Mountain,giardino.mountain,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Nira Alpina,niraalpina,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Spedition Thun,hotelspedition,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Cervo Mountain Resort,cervozermatt,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
The Omnia,omnia.zermatt,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
The Home Hotel Zurich,thehomehotelzurich,Switzerland,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Market Street Hotel,,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Inhabit Southwick Street,inhabit_hotels,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Boundary Shoreditch,,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"Charlotte Street Hotel, Firmdale Hotels",charlottestreet_hotel,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"Covent Garden Hotel, Firmdale Hotels",coventgarden_hotel,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"Dorset Square Hotel, Firmdale Hotels",dorsetsquarehotel,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"Ham Yard Hotel, Firmdale Hotels",hamyard_hotel,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"Haymarket Hotel, Firmdale Hotels",haymarket_hotellondon,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"Knightsbridge Hotel, Firmdale Hotels",knightsbridgehotel,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"Number Sixteen, Firmdale Hotels",numbersixteenhotel,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"The Soho Hotel, Firmdale Hotels",thesoho_hotel,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Town Hall Hotel,townhallhotel,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Inhabit Queen's Gardens,inhabit_hotels,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Sir Devonshire Square Hotel London,sirhotels,United Kingdom,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Kruisherenhotel Maastricht,kruisherenhotel,The Netherlands,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Kazerne,kazerneehv,The Netherlands,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Sir Adam Hotel,sirhotels,The Netherlands,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"Finolhu, A Seaside Collection Resort",finolhu_maldives,Maldives,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Sir Albert Hotel,sirhotels,The Netherlands,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
The Warehouse Hotel,thewarehousehotel,Singapore,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
21 Carpenter,21carpenter_sg,Singapore,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Nest Hotel,nest__hotel,South Korea,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Public House Bangkok,publichousebkk,Thailand,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Mason,masonpattaya,Thailand,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Casa de La Flora,casadelaflora,Thailand,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Iniala Beach House,iniala_thailand,Thailand,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
The Naka Phuket,thenakaphuket,Thailand,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
The Slate,theslatephuket,Thailand,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
The Surin Phuket,thesurinphuket,Thailand,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
sala bang pa-in,,Thailand,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Bach Suites Saigon,bachsuitessaigon,Vietnam,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Irada,hotelirada,India,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Papaya Playa Project,papayaplayaproject,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
XELA Tulum,xelatulum,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Azucar,,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Maison Couturier,,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Drift San Jose del Cabo,drift.hotels,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
NEST Baja,nestbaja,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Baja Club,bajaclubhotel,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
MIRA Earth Studios,miraearthstudios,Mexico,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Dr. Wilkinson's Backyard Resort & Mineral Springs,drwilkinsonsresort,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Harmon Guest House,harmonguesthouse,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Healdsburg,hotelhealdsburg,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Timber Cove Resort,timbercoveresort,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Avalon Hotel Beverly Hills,avalonhotels,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel June West L.A.,hoteljunewestla,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Downtown L.A. Proper Hotel,downtownlaproper,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Andronis Luxury Suites,andronissuites,Greece,Forbes,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Capella at Galaxy Macau,capellamacau,China,Forbes,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
"Buahan, A Banyan Tree Escape",banyantreeescape.buahan,Indonesia,Gold List,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Bullo River Station,bulloriverstation,Australia,Gold List,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Cap Rocat,cap_rocat,Spain,Gold List,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Cape Weligama,capeweligama,Sri Lanka,Gold List,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Eden,hoteledenrome,Italy,Forbes,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
One&Only Nyungwe House,oonyungwehouse,Rwanda,Forbes,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Granger Hotel Gaslamp Quarter,grangerhotel,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
San Francisco Proper Hotel,sanfranciscoproper,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Drift Santa Barbara,,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Le Petit Pali Laguna Beach,palisociety,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Wren,,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
The Robey,therobeychicago,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Ulysses,hotelulysses,USA,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Hotel Belmar,hotelbelmar,Costa Rica,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Esh Hotel & Spa,eshhotelnosara,Costa Rica,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Rabot Hotel From Hotel Chocolat,hotelchocolatsaintlucia,Saint Lucia,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Laluna,lalunagrenada,Grenada,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Good Hotel Antigua,goodhotel.co,Guatemala,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Atix Hotel,atixhotel,Bolivia,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Wake BioHotel,wake.biohotel,Colombia,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Wake Medellin,wake_medellin,Colombia,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
Carlota,hotelcarlotaquito,Ecuador,Design Hotels,,0,0,,0,,,no,needs sample scrape,no post data at all — needs a sample scrape before it can be ranked
