"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","8","9.363","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","text/html; charset=UTF-8","200","OK","Indexable","","45","2.018","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/jquery-3.3.1.min.js?ver=6.9.4","application/javascript","200","OK","Indexable","","0","0.017","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=6.1.5","application/javascript","200","OK","Indexable","","0","0.058","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/ajax-search.js?ver=1765113141","application/javascript","200","OK","Indexable","","0","0.049","",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","text/html; charset=UTF-8","200","OK","Indexable","","358","0.570","",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","text/html; charset=UTF-8","200","OK","Indexable","","358","1.042","",""
"https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","text/html; charset=UTF-8","200","OK","Indexable","","633","0.798","",""
"https://www.sowerbysholidaycottages.co.uk/wp-includes/js/dist/vendor/wp-polyfill.min.js?ver=3.15.0","application/javascript","200","OK","Indexable","","0","0.024","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/bootstrap.bundle.min.js","application/javascript","200","OK","Indexable","","0","0.053","",""
"https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","text/html; charset=UTF-8","200","OK","Indexable","","355","0.766","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/style.css?ver=1777283309","text/css","200","OK","Indexable","","0","0.076","",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/","text/html; charset=UTF-8","200","OK","Indexable","","356","0.462","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","350","0.501","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","HTTP Redirect"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/","text/html; charset=UTF-8","200","OK","Indexable","","15","1.362","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/superwp/public/js/superwp-public.js?ver=1.0.0","application/javascript","200","OK","Indexable","","0","0.021","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/sidekick-favourites/assets/css/favourites.css?ver=1.0.0","text/css","200","OK","Indexable","","0","0.060","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1.5","application/javascript","200","OK","Indexable","","0","0.061","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1.5","application/javascript","200","OK","Indexable","","0","0.062","",""
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","text/html; charset=UTF-8","200","OK","Indexable","","355","0.617","",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","text/html; charset=UTF-8","200","OK","Indexable","","358","1.064","",""
"https://www.sowerbysholidaycottages.co.uk/seasonal-guide-request/","text/html; charset=UTF-8","200","OK","Indexable","","8","0.826","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","text/html; charset=UTF-8","200","OK","Indexable","","355","1.685","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/assets/images/logo-dark.svg","image/svg+xml","200","OK","Indexable","","0","0.078","",""
"https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","text/html; charset=UTF-8","200","OK","Indexable","","355","0.855","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/slick.min.js","application/javascript","200","OK","Indexable","","0","0.022","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","357","1.477","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/slick-theme.css?ver=1674500144","text/css","200","OK","Indexable","","0","0.017","",""
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","text/html; charset=UTF-8","200","OK","Indexable","","355","0.678","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/instagram-feed/js/sbi-scripts.min.js?ver=6.10.1","application/javascript","200","OK","Indexable","","0","0.022","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","text/html; charset=UTF-8","200","OK","Indexable","","356","3.492","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","text/html; charset=UTF-8","200","OK","Indexable","","38","1.451","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.127","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/hot-tub.svg","image/svg+xml","200","OK","Indexable","","0","0.020","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/wifi.svg","image/svg+xml","200","OK","Indexable","","0","0.119","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","46","1.240","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","text/html; charset=UTF-8","200","OK","Indexable","","46","1.398","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","text/html; charset=UTF-8","200","OK","Indexable","","356","10.389","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","text/html; charset=UTF-8","200","OK","Indexable","","46","1.110","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.176","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.287","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","53","1.154","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","text/html; charset=UTF-8","200","OK","Indexable","","23","1.563","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/sea-view.svg","image/svg+xml","200","OK","Indexable","","0","0.019","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.412","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/park.svg","image/svg+xml","200","OK","Indexable","","0","0.059","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","23","1.299","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","text/html; charset=UTF-8","200","OK","Indexable","","23","1.413","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","text/html; charset=UTF-8","200","OK","Indexable","","46","1.061","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","43","1.213","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.296","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","text/html; charset=UTF-8","200","OK","Indexable","","53","1.179","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/bed.svg","image/svg+xml","200","OK","Indexable","","0","0.019","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","36","1.203","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/electric.svg","image/svg+xml","200","OK","Indexable","","0","0.018","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-king-william-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","23","1.516","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/eco.svg","image/svg+xml","200","OK","Indexable","","0","0.015","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-boathouse/","text/html; charset=UTF-8","200","OK","Indexable","","46","1.001","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-crarves/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.154","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/dog-not-alowed.svg","image/svg+xml","200","OK","Indexable","","0","0.017","",""
"https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","text/html; charset=UTF-8","200","OK","Non-Indexable","noindex","8","0.895","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-paddock/","text/html; charset=UTF-8","200","OK","Indexable","","46","1.345","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beehive-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.292","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","42","1.764","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mandalay/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.370","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.233","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/michaelmas/","text/html; charset=UTF-8","200","OK","Indexable","","39","1.537","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-east/","text/html; charset=UTF-8","200","OK","Indexable","","43","1.023","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mill-view/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.155","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns-2-bedrooms/","text/html; charset=UTF-8","200","OK","Indexable","","46","0.850","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-railway-cottages/","text/html; charset=UTF-8","200","OK","Indexable","","33","2.045","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","36","1.001","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/luxery.svg","image/svg+xml","200","OK","Indexable","","0","0.022","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/home-office.svg","image/svg+xml","200","OK","Indexable","","0","0.024","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/western-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.266","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hill-top-docking/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.612","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/awesome-dog.svg","image/svg+xml","200","OK","Indexable","","0","0.078","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage-2-bedrooms/","text/html; charset=UTF-8","200","OK","Indexable","","39","1.299","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-loft/","text/html; charset=UTF-8","200","OK","Indexable","","46","1.289","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/wood-burner.svg","image/svg+xml","200","OK","Indexable","","0","0.024","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/4-hare-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","26","1.098","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/heart-dark.svg","image/svg+xml","200","OK","Indexable","","0","0.105","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/bridge-farm-barn/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.066","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view/","text/html; charset=UTF-8","200","OK","Indexable","","39","1.900","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-3-bedrooms/","text/html; charset=UTF-8","200","OK","Indexable","","46","0.817","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-west/","text/html; charset=UTF-8","200","OK","Indexable","","43","0.922","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-garden-house/","text/html; charset=UTF-8","200","OK","Indexable","","46","0.879","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house-2-bedrooms/","text/html; charset=UTF-8","200","OK","Indexable","","36","1.178","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/harpley/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.442","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/avocet-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","33","0.837","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/egmere/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.855","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/north-creake/","text/html; charset=UTF-8","200","OK","Indexable","","10","0.884","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/sedgeford/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.712","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/wighton/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.777","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-market/","text/html; charset=UTF-8","200","OK","Indexable","","57","1.358","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/walsingham/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.972","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-overy-town/","text/html; charset=UTF-8","200","OK","Indexable","","8","0.944","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-overy-staithe/","text/html; charset=UTF-8","200","OK","Indexable","","28","0.975","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/heacham/","text/html; charset=UTF-8","200","OK","Indexable","","17","0.798","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/ringstead/","text/html; charset=UTF-8","200","OK","Indexable","","9","0.562","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/great-snoring/","text/html; charset=UTF-8","200","OK","Indexable","","8","0.650","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/hunstanton/","text/html; charset=UTF-8","200","OK","Indexable","","8","0.732","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/brancaster/","text/html; charset=UTF-8","200","OK","Indexable","","25","0.889","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/brancaster-staithe/","text/html; charset=UTF-8","200","OK","Indexable","","22","0.932","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/old-hunstanton/","text/html; charset=UTF-8","200","OK","Indexable","","19","0.898","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/thornham/","text/html; charset=UTF-8","200","OK","Indexable","","19","0.647","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-deepdale/","text/html; charset=UTF-8","200","OK","Indexable","","10","0.661","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/blakeney/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.943","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/wells-next-the-sea/","text/html; charset=UTF-8","200","OK","Indexable","","40","1.120","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/warham/","text/html; charset=UTF-8","200","OK","Indexable","","8","0.870","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/titchwell/","text/html; charset=UTF-8","200","OK","Indexable","","11","0.812","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/burnham-norton/","text/html; charset=UTF-8","200","OK","Indexable","","9","0.916","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/houghton-estate/","text/html; charset=UTF-8","200","OK","Indexable","","8","0.649","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/stanhoe/","text/html; charset=UTF-8","200","OK","Indexable","","15","0.920","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/holme-next-the-sea/","text/html; charset=UTF-8","200","OK","Indexable","","23","1.045","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/docking/","text/html; charset=UTF-8","200","OK","Indexable","","27","1.065","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/fring/","text/html; charset=UTF-8","200","OK","Indexable","","7","0.644","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/stiffkey/","text/html; charset=UTF-8","200","OK","Indexable","","7","1.073","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/binham/","text/html; charset=UTF-8","200","OK","Indexable","","12","0.930","",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-villages/south-creake/","text/html; charset=UTF-8","200","OK","Indexable","","15","1.070","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/high-barn/","text/html; charset=UTF-8","200","OK","Indexable","","26","1.247","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sanderling/","text/html; charset=UTF-8","200","OK","Indexable","","29","1.221","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-gables/","text/html; charset=UTF-8","200","OK","Indexable","","26","0.814","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/orchard-house-3-bedrooms/","text/html; charset=UTF-8","200","OK","Indexable","","26","0.906","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/heron-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","23","1.305","",""
"https://www.sowerbysholidaycottages.co.uk/wp-content/uploads/2022/11/swimming.svg","image/svg+xml","200","OK","Indexable","","0","0.024","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washington-beach-house/","text/html; charset=UTF-8","200","OK","Indexable","","39","1.020","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sea-lavender-house/","text/html; charset=UTF-8","200","OK","Indexable","","16","0.841","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","26","1.733","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/marshview-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","32","1.039","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/cherry-house/","text/html; charset=UTF-8","200","OK","Indexable","","16","1.208","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washington-beach-house-with-lodge/","text/html; charset=UTF-8","200","OK","Indexable","","46","1.039","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-meadows/","text/html; charset=UTF-8","200","OK","Indexable","","26","1.807","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hillcrest-barn/","text/html; charset=UTF-8","200","OK","Indexable","","26","0.983","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-cartshed-6-marshland-barns/","text/html; charset=UTF-8","200","OK","Indexable","","36","1.947","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/old-mill-and-cottage/","text/html; charset=UTF-8","200","OK","Indexable","","33","1.003","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/burnham-loft/","text/html; charset=UTF-8","200","OK","Indexable","","19","0.718","",""
