"Address","Status Code","Title 1","Indexability","Indexability Status"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","200","Search Sowerby’s database of Norfolk Holiday Cottages","Non-Indexable","Canonicalised"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","200","Sowerbys Holiday Cottages | Norfolk holiday cottage owner information","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","200","Norfolk Dog friendly holiday cottages - Sowerbys Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Aster House","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","200","Norfolk Holiday Cottage to rent in Burnham Market - 3 The Old School","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","200","Norfolk Holiday Cottage to rent in Wells-next-the-sea - Channel View and Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","200","Norfolk Holiday Cottage to rent in Titchwell - 3 Marshland Barns","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","200","Search Sowerby’s database of Norfolk Holiday Cottages","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","200","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - The Dairy Barn 2 bedrooms","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","200","Norfolk Holiday Cottage to rent in Burnham Market - Pantiles","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","200","Norfolk Holiday Cottage to rent in Burnham Market - Crowberry Barn","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","200","Norfolk Holiday Cottage to rent in Brancaster Staithe - Close Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","200","Norfolk Holiday Cottage to rent in Docking - Sunnyvale","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","200","Norfolk Holiday Cottage to rent in Burnham Market - Nelson Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","200","Norfolk Holiday Cottage to rent in Holme-next-the-Sea - Sybil Cottage","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","200","Norfolk Holiday Cottage to rent in Burnham Market - The Old Forge","Indexable",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","200","Norfolk Holiday Cottage to rent in Great Snoring - Slumber Barn 5 bedrooms","Indexable",""
