"Address","Status Code","Status"
"https://www.sowerbysholidaycottages.co.uk/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/inspiration/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-holiday-cottage-special-offers/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/alphabetical-list-of-villages/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/luxury-collection/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/owner-testimonials/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&bedrooms=&bathrooms=&village=&new=yes","200","OK"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&property=&action=quicksearch&bedrooms=&bathrooms=&village=&has_sea_view=yes","200","OK"
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beachside/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/seasonal-guide-request/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","200","OK"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/oak-tree-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-king-william-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-boathouse/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/1-crarves/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/map-search/?start_date=&duration=&sleeps=&dogs=&village=&bedrooms=&bathrooms=&property=&special_offer=yes","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-paddock/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/beehive-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mandalay/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eton-house/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/michaelmas/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-east/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/mill-view/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns-2-bedrooms/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-railway-cottages/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/western-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hill-top-docking/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/eider-cottage-2-bedrooms/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-loft/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/4-hare-cottage/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/bridge-farm-barn/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-3-bedrooms/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-west/","200","OK"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-garden-house/","200","OK"
