"Site Crawled","https://www.sowerbysholidaycottages.co.uk/"
"Start Date","2026-05-08"
"Start Time","14:17:02"
"Last Modified Date","2026-05-08"
"Last Modified Time","14:18:42"
"Elapsed","00:01:40"
"Report Date","2026-05-08"
"Report Time","14:30:55"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","353",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","353",""
"<th> Element Requires Associated Data Cells","0","0.00%","353",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","353",""
"Table Headers Require Discernible Text","0","0.00%","353",""
"Table With Identical Summary & Caption Text","0","0.00%","353",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","353",""
""
"Custom Search"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","410","100.00%","410","Internal HTML pages with 2xx response"
""
"Analytics"
"All","355","100.00%","355","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","355","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","355","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","355","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","355","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","355","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","355","100.00%","355","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","355","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","355","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","355","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","355","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","355","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","355","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","355","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","355","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","355","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","355","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","355","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","412","100.00%","412","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","412","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","412","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","412","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","412","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","412","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","412","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","412","Internal URLs with 2xx response"
"HTML Document Over 2MB","2","0.49%","412","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","412","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","412","Internal URLs with 2xx response"
""
"Link Metrics"
"All","355","100.00%","355","Internal HTML/PDF pages"
""
"AI"
"All","410","100.00%","410","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.28%","353","Internal HTML pages with 2xx response"
"1","36","10.20%","353","Internal HTML pages with 2xx response"
"2","316","89.52%","353","Internal HTML pages with 2xx response"
"3","0","0.00%","353","Internal HTML pages with 2xx response"
"4","0","0.00%","353","Internal HTML pages with 2xx response"
"5","0","0.00%","353","Internal HTML pages with 2xx response"
"6","0","0.00%","353","Internal HTML pages with 2xx response"
"7","0","0.00%","353","Internal HTML pages with 2xx response"
"8","0","0.00%","353","Internal HTML pages with 2xx response"
"9","0","0.00%","353","Internal HTML pages with 2xx response"
"10+","0","0.00%","353","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/sea-views/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/inspiration/things-to-do-in-norfolk/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/terms-and-conditions/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/request-your-free-homeowners-guide/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/our-norfolk-estate-agents/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/inspiration/norfolk-events/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/faqs/","350","99.15%","353","Internal HTML pages with 2xx response"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","350","99.15%","353","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","147","35.68%"
"2","245","59.47%"
"3","16","3.88%"
"4","2","0.49%"
"5","0","0.00%"
"6","0","0.00%"
"7","0","0.00%"
"8","0","0.00%"
"9","0","0.00%"
"10","1","0.24%"
"11","1","0.24%"
