"Site Crawled","https://www.sowerbysholidaycottages.co.uk/"
"Start Date","2026-05-08"
"Start Time","14:17:02"
"Last Modified Date","2026-05-08"
"Last Modified Time","14:18:42"
"Elapsed","00:01:40"
"Report Date","2026-05-08"
"Report Time","14:30:55"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Missing Secure Referrer-Policy Header","410","99.51%","412","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","412","All internal and non-HTML external URLs"
""
"Response Codes"
"All","500","100.00%","500","All Internal & External Crawled URLs"
"Blocked by Robots.txt","67","13.40%","500","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","500","All Internal & External Crawled URLs"
"No Response","0","0.00%","500","All Internal & External Crawled URLs"
"Success (2xx)","428","85.60%","500","All Internal & External Crawled URLs"
"Redirection (3xx)","4","0.80%","500","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","500","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","500","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","500","All Internal & External Crawled URLs"
"Client Error (4xx)","1","0.20%","500","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","500","All Internal & External Crawled URLs"
"Internal All","412","82.40%","500","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","0","0.00%","500","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","500","All Internal Crawled URLs"
"Internal No Response","0","0.00%","500","All Internal Crawled URLs"
"Internal Success (2xx)","410","82.00%","500","All Internal Crawled URLs"
"Internal Redirection (3xx)","2","0.40%","500","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","500","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","500","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","500","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","500","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","500","All Internal Crawled URLs"
"Internal Client Error (4xx)","0","0.00%","500","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","500","All Internal Crawled URLs"
"External All","88","17.60%","500","All External Crawled URLs"
"External Blocked by Robots.txt","67","13.40%","500","All External Crawled URLs"
"External Blocked Resource","0","0.00%","500","All External Crawled URLs"
"External No Response","0","0.00%","500","All External Crawled URLs"
"External Success (2xx)","18","3.60%","500","All External Crawled URLs"
"External Redirection (3xx)","2","0.40%","500","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","500","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","500","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","500","All External Crawled URLs"
"External Client Error (4xx)","1","0.20%","500","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","500","All External Crawled URLs"
""
"URL"
"All","412","100.00%","412","Internal URLs"
"Non ASCII Characters","0","0.00%","412","Internal URLs"
"Underscores","9","2.18%","412","Internal URLs"
"Uppercase","3","0.73%","412","Internal URLs"
"Multiple Slashes","0","0.00%","412","Internal URLs"
"Repetitive Path","0","0.00%","412","Internal URLs"
"Contains Space","0","0.00%","412","Internal URLs"
"Internal Search","0","0.00%","412","Internal URLs"
"Parameters","12","2.91%","412","Internal URLs"
"Broken Bookmark","0","0.00%","412","Internal URLs"
"GA Tracking Parameters","0","0.00%","412","Internal URLs"
"Over 115 Characters","9","2.18%","412","Internal URLs"
""
"Page Titles"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Missing","0","0.00%","353","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","353","Internal HTML pages with 2xx response"
"Over 60 Characters","261","73.94%","353","Internal HTML pages with 2xx response"
"Below 30 Characters","0","0.00%","353","Internal HTML pages with 2xx response"
"Over 561 Pixels","244","69.12%","353","Internal HTML pages with 2xx response"
"Below 200 Pixels","0","0.00%","353","Internal HTML pages with 2xx response"
"Same as H1","0","0.00%","353","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","353","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","353","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Missing","9","2.55%","353","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","353","Internal HTML pages with 2xx response"
"Over 155 Characters","0","0.00%","353","Internal HTML pages with 2xx response"
"Below 70 Characters","0","0.00%","353","Internal HTML pages with 2xx response"
"Over 985 Pixels","0","0.00%","353","Internal HTML pages with 2xx response"
"Below 400 Pixels","0","0.00%","353","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","353","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","353","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Missing","341","96.60%","353","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","353","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","353","Internal HTML pages with 2xx response"
""
"H1"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Missing","11","3.12%","353","Internal HTML pages with 2xx response"
"Duplicate","7","1.98%","353","Internal HTML pages with 2xx response"
"Over 70 Characters","0","0.00%","353","Internal HTML pages with 2xx response"
"Multiple","9","2.55%","353","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","353","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","353","Internal HTML pages with 2xx response"
""
"H2"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Missing","37","10.48%","353","Internal HTML pages with 2xx response"
"Duplicate","282","79.89%","353","Internal HTML pages with 2xx response"
"Over 70 Characters","0","0.00%","353","Internal HTML pages with 2xx response"
"Multiple","294","83.29%","353","Internal HTML pages with 2xx response"
"Non-Sequential","4","1.13%","353","Internal HTML pages with 2xx response"
""
"Content"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","353","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","353","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","353","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","353","Internal HTML pages with 2xx response"
"Low Content Pages","9","2.55%","353","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","353","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","353","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","353","Internal HTML pages with 2xx response"
"Readability Difficult","0","0.00%","353","Internal HTML pages with 2xx response"
"Readability Very Difficult","0","0.00%","353","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","353","Internal HTML pages with 2xx response"
""
"Images"
"All","27","100.00%","27","Images with 2xx response"
"Over 100 KB","5","18.52%","27","Images with 2xx response"
"Missing Alt Text","0","0.00%","27","Images with 2xx response"
"Missing Alt Attribute","0","0.00%","27","Images with 2xx response"
"Alt Text Over 100 Characters","0","0.00%","27","Images with 2xx response"
"Background Images","0","0.00%","27","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","27","Images with 2xx response"
"Missing Size Attributes","27","100.00%","27","Images with 2xx response"
""
"Canonicals"
"All","353","100.00%","353","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","346","98.02%","353","Internal HTML or PDF pages with 2xx response"
"Self Referencing","341","96.60%","353","Internal HTML or PDF pages with 2xx response"
"Canonicalised","5","1.42%","353","Internal HTML or PDF pages with 2xx response"
"Missing","0","0.00%","353","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","353","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","353","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0.00%","353","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","353","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","353","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","353","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","353","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","353","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","353","100.00%","353","Internal HTML pages with 2xx response"
"Contains Pagination","16","4.53%","353","Internal HTML pages with 2xx response"
"First Page","16","4.53%","353","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","353","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","16","4.53%","353","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","353","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","353","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","353","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","353","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","353","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","353","Internal HTML pages with 2xx response"
""
"Directives"
"All","410","100.00%","410","Internal URLs with 2xx response"
"Index","346","84.39%","410","Internal URLs with 2xx response"
"Noindex","7","1.71%","410","Internal URLs with 2xx response"
"Follow","350","85.37%","410","Internal URLs with 2xx response"
"Nofollow","3","0.73%","410","Internal URLs with 2xx response"
"None","0","0.00%","410","Internal URLs with 2xx response"
"NoArchive","0","0.00%","410","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","410","Internal URLs with 2xx response"
"Max-Snippet","346","84.39%","410","Internal URLs with 2xx response"
"Max-Image-Preview","346","84.39%","410","Internal URLs with 2xx response"
"Max-Video-Preview","346","84.39%","410","Internal URLs with 2xx response"
"NoODP","0","0.00%","410","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","410","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","410","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","410","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","410","Internal URLs with 2xx response"
"Refresh","0","0.00%","355","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","410","Internal URLs with 2xx response"
""
"Hreflang"
"All","353","100.00%","353","Internal pages with 2xx response"
"Contains hreflang","0","0.00%","353","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","353","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","353","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","353","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","353","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","353","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","353","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","353","Internal pages with 2xx response"
