"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3401","20237","","Print","200","OK","true","","","Absolute","//body/main/div[@class='property-details-top']/div/div[2]/div[@class='cta-actions']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3401","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3401","20237","","Print Page Now","200","OK","true","","","Path-Relative","//body/div[@id='printTrigger']/p/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3282","22423","","Print","200","OK","true","","","Absolute","//body/main/div[@class='property-details-top']/div/div[2]/div[@class='cta-actions']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3282","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=3282","22423","","Print Page Now","200","OK","true","","","Path-Relative","//body/div[@id='printTrigger']/p/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=5140","21824","","Print","200","OK","true","","","Absolute","//body/main/div[@class='property-details-top']/div/div[2]/div[@class='cta-actions']/a","Content","HTML"
"Hyperlink","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=5140","https://www.sowerbysholidaycottages.co.uk/property-details-print/?propertyID=5140","21824","","Print Page Now","200","OK","true","","","Path-Relative","//body/div[@id='printTrigger']/p/a","Content","HTML"
