"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Hash","Length","Canonical Link Element 1","URL Encoded Address"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/fslightbox.js","application/javascript","200","OK","Indexable","","","102","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/fslightbox.js"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/main.js","application/javascript","200","OK","Indexable","","","96","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/main.js"
"https://www.sowerbysholidaycottages.co.uk/wp-includes/js/dist/hooks.min.js?ver=dd5603f07f9220ed27f1","application/javascript","200","OK","Indexable","","","99","","https://www.sowerbysholidaycottages.co.uk/wp-includes/js/dist/hooks.min.js?ver=dd5603f07f9220ed27f1"
"https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","text/html; charset=UTF-8","200","OK","Indexable","","85b46ae72137973b6d20ab0944e26f75","69","https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/","https://www.sowerbysholidaycottages.co.uk/bespoke-management-service/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/clipboard.min.js","application/javascript","200","OK","Indexable","","","105","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/clipboard.min.js"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/sidekick-favourites/assets/js/favourites.js?ver=1.0.0","application/javascript","200","OK","Indexable","","","114","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/sidekick-favourites/assets/js/favourites.js?ver=1.0.0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","text/html; charset=UTF-8","200","OK","Indexable","","c9493c90d3f4013534eb9792d215f7bd","77","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/washmeres/"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","text/html; charset=UTF-8","200","OK","Indexable","","f67856cdcd30b1b2976890704ee7c789","93","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/electric-charging/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-contact-form-7-83c32a029ed2cf5b6a82.js","application/javascript","200","OK","Indexable","","","160","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/google-site-kit/dist/assets/js/googlesitekit-events-provider-contact-form-7-83c32a029ed2cf5b6a82.js"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","text/html; charset=UTF-8","200","OK","Indexable","","1e0fbf7ce9e000612e4937fba2027e98","68","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-locations/"
"https://www.sowerbysholidaycottages.co.uk/wishlist","text/html; charset=UTF-8","301","Moved Permanently","Non-Indexable","Redirected","","50","","https://www.sowerbysholidaycottages.co.uk/wishlist"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/wp-smushit/app/assets/js/smush-lazy-load.min.js?ver=4.0.2","application/javascript","200","OK","Indexable","","","118","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/wp-smushit/app/assets/js/smush-lazy-load.min.js?ver=4.0.2"
"https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","text/html; charset=UTF-8","200","OK","Indexable","","7ff74ba5facfce6310935972ea7de296","88","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/","https://www.sowerbysholidaycottages.co.uk/about-sowerbys-holiday-cottages/meet-the-team/"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","text/html; charset=UTF-8","200","OK","Indexable","","be5984e904f59aa371c037139819b825","90","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/romantic-break/"
"https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","text/html; charset=UTF-8","200","OK","Indexable","","c5672b4d0a2ffce0f469d82c4b10cc6f","76","https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/","https://www.sowerbysholidaycottages.co.uk/contact-sowerbys-holiday-cottages/"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","text/html; charset=UTF-8","200","OK","Indexable","","fa2a16828f600daad2388c5b1b6fb191","82","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/little-barwick/"
"https://www.sowerbysholidaycottages.co.uk/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js","application/javascript","200","OK","Indexable","","","105","","https://www.sowerbysholidaycottages.co.uk/cdn-cgi/scripts/7d0fa10a/cloudflare-static/rocket-loader.min.js"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/superwp/public/css/superwp-public.css?ver=1.0.0","text/css","200","OK","Indexable","","","108","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/superwp/public/css/superwp-public.css?ver=1.0.0"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/slick.css?ver=1674500144","text/css","200","OK","Indexable","","","114","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/css/slick.css?ver=1674500144"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","27f78d3881fa0d423e9cd99b11385b4d","191","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=&dogs=&villageorproperty=&bedrooms=&bathrooms=&dogs_by_arrangement=yes&dogs_accepted=yes"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","text/html; charset=UTF-8","200","OK","Indexable","","9be8469997db7b78f2b85ab55e81617","74","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/violet/"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/jquery-3.3.1.min.js?ver=6.9.4","application/javascript","200","OK","Indexable","","","118","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/jquery-3.3.1.min.js?ver=6.9.4"
"https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=6.1.5","application/javascript","200","OK","Indexable","","","112","","https://www.sowerbysholidaycottages.co.uk/wp-content/plugins/contact-form-7/modules/recaptcha/index.js?ver=6.1.5"
"https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/ajax-search.js?ver=1765113141","application/javascript","200","OK","Indexable","","","118","","https://www.sowerbysholidaycottages.co.uk/wp-content/themes/sowerbys-holiday-cottages/js/ajax-search.js?ver=1765113141"
"https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","text/html; charset=UTF-8","200","OK","Indexable","","6730b7b6740c1f300418c80d1492fab","59","https://www.sowerbysholidaycottages.co.uk/inspiration/blog/","https://www.sowerbysholidaycottages.co.uk/inspiration/blog/"
