"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css?ver=6.6.0","text/css; charset=utf-8","200","OK","Indexable","","0","0.043","",""
"https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css?ver=6.9.4","text/css; charset=utf-8","200","OK","Indexable","","0","0.050","",""
"https://unpkg.com/leaflet@1.3.1/dist/leaflet.css","text/css","200","OK","Indexable","","0","0.025","",""
"https://unpkg.com/leaflet@1.3.1/dist/leaflet.js","text/javascript; charset=utf-8","200","OK","Indexable","","0","0.069","",""
"https://unpkg.com/leaflet.markercluster@1.3.0/dist/MarkerCluster.Default.css","text/css","200","OK","Indexable","","0","0.057","",""
"https://unpkg.com/leaflet.markercluster@1.3.0/dist/leaflet.markercluster.js","text/javascript; charset=utf-8","200","OK","Indexable","","0","0.063","",""
"https://use.typekit.net/hgh2lqj.css?ver=6.9.4","text/css;charset=utf-8","200","OK","Indexable","","0","0.012","",""
"https://fonts.googleapis.com/css2?family=Open+Sans%3Awght%40400%3B500%3B600%3B700&display=swap&ver=6.9.4","text/css; charset=utf-8","200","OK","Indexable","","0","0.024","",""
"https://www.googletagmanager.com/gtag/js?id=G-QF40NV6HE6","application/javascript; charset=UTF-8","200","OK","Indexable","","0","0.076","",""
"https://unpkg.com/leaflet.markercluster@1.3.0/dist/MarkerCluster.css","text/css","200","OK","Indexable","","0","0.072","",""
"https://www.instagram.com/sowerbys_holiday_cottages/","text/html; charset=""utf-8""","200","OK","Indexable","","351","0.148","",""
"https://cdnjs.cloudflare.com/ajax/libs/simplelightbox/2.11.0/simple-lightbox.jquery.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.051","",""
"https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/js/select2.min.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.048","",""
"https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/js/all.min.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.052","",""
"https://code.jquery.com/ui/1.13.1/jquery-ui.js","application/javascript; charset=utf-8","200","OK","Indexable","","0","0.040","",""
"https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","text/css","200","OK","Indexable","","0","0.045","",""
"https://www.google.com/recaptcha/api.js?render=6Lcp0ZYoAAAAALjLxStfWHpCncaPUofpWKY1a85U&ver=3.0","text/javascript; charset=utf-8","200","OK","Indexable","","0","0.028","",""
"https://unpkg.com/leaflet@1.9.2/dist/leaflet.js","text/javascript; charset=utf-8","200","OK","Indexable","","0","0.080","",""
