"Type","Source","Destination","Anchor Text","Alt Text","Path Type"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/alphabetical-list/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/inspiration/seasonal-guides/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/?start_date=&duration=&sleeps=10&dogs=&property=&bedrooms=&bathrooms=&village=","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
"CSS","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","https://code.jquery.com/ui/1.13.1/themes/base/jquery-ui.css?ver=6.9.4","","","Protocol-Relative"
