"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.sowerbysholidaycottages.co.uk/holiday-cottage-owner-information/","Indexable","","1","","355","350","0","99.150","37","29","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/popular-norfolk-holiday-features/dogs-accepted/","Indexable","","1","","356","350","0","99.150","719","256","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/aster-house/","Indexable","","1","","38","10","0","2.830","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-the-old-school/","Indexable","","2","","33","7","0","1.980","41","32","0","30","30","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/channel-view-and-cottage/","Indexable","","2","","46","10","0","2.830","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-marshland-barns/","Indexable","","2","","46","10","0","2.830","41","32","0","34","34","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottage-search/","Indexable","","1","","356","350","0","99.150","2118","327","0","2","2","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-dairy-barn-2-bedrooms/","Indexable","","2","","46","10","0","2.830","41","32","0","45","45","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pantiles/","Indexable","","2","","33","7","0","1.980","41","32","0","24","24","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/crowberry-barn/","Indexable","","2","","33","7","0","1.980","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/close-cottage/","Indexable","","2","","53","11","0","3.120","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sunnyvale/","Indexable","","2","","23","5","0","1.420","41","32","0","26","26","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-cottage/","Indexable","","2","","33","7","0","1.980","41","32","0","29","29","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sybil-cottage/","Indexable","","2","","23","5","0","1.420","41","32","0","29","29","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-forge/","Indexable","","2","","23","5","0","1.420","41","32","0","41","41","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/slumber-barn-5-bedrooms/","Indexable","","2","","46","10","0","2.830","41","32","0","38","38","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/flagstaff-cottage/","Indexable","","2","","43","9","0","2.550","41","32","0","31","31","0"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/the-old-post-office/","Indexable","","2","","33","7","0","1.980","41","32","0","34","34","0"
