"Address","Status Code","Status","HTML Word Count","Rendered HTML Word Count","Word Count Change","JS Word Count %","HTML Title","Rendered HTML Title","HTML H1","Rendered HTML H1","HTML Meta Description","Rendered HTML Meta Description","HTML Canonical","Rendered HTML Canonical","Unique Inlinks","Unique JS Inlinks","Unique Outlinks","Unique JS Outlinks","Unique External Outlinks","Unique External JS Outlinks","HTML Meta Robots 1","Rendered HTML Meta Robots 1","Pretty URL","Ugly URL","JS Error","JS Warning","JS Info","JS Debug","JS Issue"
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sandton-house/","200","OK","4016","0","","","Norfolk Holiday Cottage to rent in Wells-next-the-Sea - Sandton House","","Sandton House","","Sandton House is a holiday cottage to rent, located in Wells-next-the-Sea, Norfolk. The cottage sleeps 6.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sandton-house/","","5","0","32","0","33","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sandton-house/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/sandton-house/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/field-house/","200","OK","3079","0","","","Norfolk Holiday Cottage to rent in Stanhoe - Field House","","Field House","","Field House is a holiday cottage to rent, located in Stanhoe, Norfolk. The cottage sleeps 7.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/field-house/","","5","0","32","0","31","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/field-house/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/field-house/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-lodge/","200","OK","2894","0","","","Norfolk Holiday Cottage to rent in Burnham Market - Nelson Lodge","","Nelson Lodge","","Nelson Lodge is a holiday cottage to rent, located in Burnham Market, Norfolk. The cottage sleeps 11.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-lodge/","","6","0","32","0","30","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-lodge/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/nelson-lodge/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/kitts-cottage/","200","OK","2977","0","","","Norfolk Holiday Cottage to rent in Burnham Market - Kitts Cottage","","Kitts Cottage","","Kitts Cottage is a holiday cottage to rent, located in Burnham Market, Norfolk. The cottage sleeps 6.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/kitts-cottage/","","5","0","32","0","30","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/kitts-cottage/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/kitts-cottage/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/butts-corner-2-bedrooms/","200","OK","1848","0","","","Norfolk Holiday Cottage to rent in Wells-next-the-Sea - Butts Corner 2 bedrooms","","Butts Corner 2 bedrooms","","Butts Corner 2 bedrooms is a holiday cottage to rent, located in Wells-next-the-Sea, Norfolk. The cottage sleeps 4.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/butts-corner-2-bedrooms/","","5","0","32","0","24","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/butts-corner-2-bedrooms/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/butts-corner-2-bedrooms/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-hunts-cottages/","200","OK","3177","0","","","Norfolk Holiday Cottage to rent in Thornham - 2 Hunts Cottages","","2 Hunts Cottages","","2 Hunts Cottages is a holiday cottage to rent, located in Thornham, Norfolk. The cottage sleeps 6.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-hunts-cottages/","","5","0","32","0","37","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-hunts-cottages/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/2-hunts-cottages/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-pond-end-row/","200","OK","3709","0","","","Norfolk Holiday Cottage to rent in Docking - 3 Pond End Row","","3 Pond End Row","","3 Pond End Row is a holiday cottage to rent, located in Docking, Norfolk. The cottage sleeps 6.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-pond-end-row/","","5","0","32","0","38","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-pond-end-row/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/3-pond-end-row/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/butts-corner/","200","OK","2848","0","","","Norfolk Holiday Cottage to rent in Wells-next-the-Sea - Butts Corner","","Butts Corner","","Butts Corner is a holiday cottage to rent, located in Wells-next-the-Sea, Norfolk. The cottage sleeps 8.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/butts-corner/","","5","0","32","0","26","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/butts-corner/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/butts-corner/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hare-cottage/","200","OK","4205","0","","","Norfolk Holiday Cottage to rent in Docking - Hare Cottage","","Hare Cottage","","Hare Cottage is a holiday cottage to rent, located in Docking, Norfolk. The cottage sleeps 4.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hare-cottage/","","5","0","32","0","33","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hare-cottage/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/hare-cottage/","","","","",""
"https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pangurs-piece/","200","OK","3546","0","","","Norfolk Holiday Cottage to rent in Burnham Overy Staithe - Pangur's Piece","","Pangur’s Piece","","Pangur's Piece is a holiday cottage to rent, located in Burnham Overy Staithe, Norfolk. The cottage sleeps 6.","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pangurs-piece/","","5","0","32","0","33","0","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pangurs-piece/","https://www.sowerbysholidaycottages.co.uk/norfolk-holiday-cottages/pangurs-piece/","","","","",""
