"Address","Status Code","Status","Inlinks","Matched Robots.txt Line"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192906241.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/temp/2885/stanhoe-(3).jpg","0","Blocked by robots.txt","0","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192921709.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/4k/192906238.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378930.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379058.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379041.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379032.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378934.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379036.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378917.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378939.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378913.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379033.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379042.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192379068.jpg","0","Blocked by robots.txt","1","Line:2 /"
"https://c621446.ssl.cf3.rackcdn.com/images/cottages/custom/large/192378916.jpg","0","Blocked by robots.txt","1","Line:2 /"
